,lat,long,elev,d_distance,d_height,slope,slope_angle,d_calories,calories_sum,distance_sum,seg_id,segment
34,40.82659,-73.95049,34.0,12.990008483948692,0.0,0.0,0.0,0.6458674199601587,62.40097941568564,1142.852216512745,1,157_139
35,40.82649,-73.95056,34.0,12.575149734081585,0.0,0.0,0.0,0.6252405088418439,63.02621992452748,1155.4273662468263,1,157_139
36,40.82649,-73.95057,34.0,0.8408758147399575,0.0,0.0,0.0,0.0418086172648829,63.068028541792366,1156.2682420615663,1,157_139
37,40.82639,-73.95064,34.0,12.575153889062298,0.0,0.0,0.0,0.6252407154288276,63.6932692572212,1168.8433959506287,1,157_139
38,40.8258,-73.95105,34.0,74.07574847608728,0.0,0.0,0.0,3.683070154187062,67.37633941140825,1242.919144426716,1,157_139
39,40.82525,-73.95146,34.0,70.17216030724714,0.0,0.0,0.0,3.488982488862505,70.86532190027076,1313.0913047339632,1,157_139
40,40.82521,-73.95149,34.0,5.110964330204797,0.0,0.0,0.0,0.2541187982699712,71.11944069854073,1318.202269064168,1,157_139
41,40.82519,-73.9515,34.0,2.3762609245705386,0.0,0.0,0.0,0.1181484611346445,71.23758915967537,1320.5785299887384,1,157_139
42,40.82513,-73.95155,34.0,7.882458973157286,0.0,0.0,0.0,0.3919184076150298,71.62950756729039,1328.4609889618955,1,157_139
43,40.82463,-73.95191,34.0,63.274068096100976,0.0,0.0,0.0,3.1460071147843864,74.77551468207477,1391.7350570579968,1,157_139
44,40.82457,-73.95196,34.0,7.882477909491375,0.0,0.0,0.0,0.3919193491356806,75.16743403121045,1399.6175349674882,1,157_139
45,40.82452,-73.952,34.0,6.495059268197663,0.0,0.0,0.0,0.3229364459016861,75.49037047711214,1406.1125942356855,1,157_139
46,40.82431,-73.95215,34.0,26.527021366440653,0.0,0.0,0.0,1.3189320753979197,76.80930255251006,1432.6396156021265,1,157_139
47,40.8243,-73.95215,34.0,1.1112511341905271,0.0,0.0,0.0,0.0552517655284289,76.86455431803849,1433.750866736317,1,157_139
48,40.824,-73.95237,34.0,38.12660804051408,0.0,0.0,0.0,1.8956672736116384,78.76022159165012,1471.8774747768311,1,157_139
